pose_idx,j1_deg,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,chassis_z_m,droll_deg,dpitch_deg,dz_chassis_m,max_hub_lift_m,physics_tipped,converged
10,-46.513,-95.420,81.041,-69.386,-95.420,-98.959,110.614,-46.576,-95.243,81.065,-69.387,0.176,-0.0066,-6.7498,-5.7501,0.2206,6.8332,5.7583,-0.2068,-0.263434,0.177517,-0.561205,-0.033989,-0.358258,-0.310099,-0.287476,-0.296388,-0.412967,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000000,False,True
11,153.635,11.440,3.306,-39.089,11.440,-176.694,140.911,153.647,11.338,3.367,-39.093,0.103,-0.0002,6.9398,-4.2235,1.7350,-6.9339,4.2203,-1.7349,-0.278316,0.359449,-0.200957,0.352717,0.071379,0.077067,-0.001174,0.192082,-0.053209,-180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
12,51.791,-106.428,-164.186,62.937,-106.428,15.814,-117.063,51.762,-106.301,-164.124,62.941,0.128,0.0014,-4.9373,-1.7380,-1.6890,4.9708,1.7523,1.6863,-0.257748,0.563533,-0.719397,-0.101776,-0.345175,-0.104832,-0.630198,-0.216626,-0.571562,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
13,116.194,81.442,-121.792,57.240,81.442,58.208,-122.760,116.235,81.524,-121.660,57.236,0.131,-0.0000,-1.2119,-2.8887,1.8201,1.1776,2.8711,-1.8220,-0.105713,0.475051,0.429567,0.053550,0.355861,-0.163682,0.540408,-0.042889,0.577085,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
14,-20.371,-109.092,156.690,-12.900,-109.092,-23.310,167.100,-20.598,-108.884,156.790,-12.904,0.227,0.2361,-6.4384,-2.6262,1.5786,6.3094,2.5870,-1.5655,-0.268869,0.311563,-0.626817,-0.117708,-0.340072,-0.309919,-0.550553,-0.206130,-0.478693,179.999,-0.000,-0.032927,-0.001,-0.000,0.000001,0.000004,False,True
15,-98.194,-75.145,-142.861,78.730,-75.145,37.139,-101.270,-98.117,-75.392,-142.890,78.733,0.247,-0.0004,6.2688,3.3902,-1.4485,-6.3267,-3.4091,1.4431,-0.098288,0.641901,-0.753951,0.092259,-0.347840,0.316855,-0.523350,0.221185,-0.605711,-180.000,-0.000,-0.032928,0.000,-0.000,-0.000000,0.000000,False,True
16,19.651,2.356,48.633,-23.948,2.356,-131.367,156.052,19.702,2.282,48.807,-23.952,0.173,-0.0014,9.1965,-2.1757,1.6950,-9.1905,2.1803,-1.6960,0.175468,0.299589,-0.297112,0.359563,0.014794,0.180142,-0.206690,0.292579,-0.149298,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
17,-157.026,-4.784,105.237,72.866,-4.784,-74.763,-107.134,-156.974,-4.893,105.379,72.870,0.142,-0.0136,10.5687,-0.7713,-1.8915,-10.5667,0.7740,1.8912,-0.347099,0.554803,-0.443592,0.358613,-0.030015,0.410327,-0.310324,0.284946,-0.295637,-180.000,-0.000,-0.032928,0.000,-0.000,-0.000000,0.000000,False,True
18,117.947,36.306,-84.442,-93.687,36.306,95.558,86.313,117.963,36.343,-84.302,-93.684,0.140,0.0022,3.5611,-5.6125,-1.4939,-3.5646,5.6065,1.4969,-0.123460,0.435676,0.199390,0.290006,0.213075,0.099781,0.425353,0.000545,0.347326,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
19,47.399,-22.520,81.028,-30.554,-22.520,-98.972,149.446,47.539,-22.581,81.208,-30.558,0.180,-0.0452,9.0147,-1.5179,1.6808,-8.9778,1.5348,-1.6820,0.089394,0.186461,-0.469377,0.332426,-0.137831,0.183528,-0.380888,0.295037,-0.321712,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000001,False,True
20,92.912,151.010,-118.838,71.014,151.010,61.162,-108.986,92.846,151.239,-118.920,71.018,0.229,0.7145,-14.1823,-3.3789,-1.4146,15.6013,5.6468,0.4344,-0.078621,0.973236,-0.316873,-0.314779,0.174410,-0.556049,0.022635,-0.584846,0.145544,-142.368,-0.557,0.019662,37.632,-0.557,0.052589,0.120974,True,True
21,-52.371,122.376,-77.490,80.262,122.376,102.510,-99.738,-52.321,122.534,-77.515,80.264,0.158,0.0513,-11.4276,-5.3834,-1.0844,11.5532,5.4592,1.0962,-0.343661,0.028399,0.057605,-0.192701,0.303926,-0.394653,0.102773,-0.467327,0.205993,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
22,169.451,136.481,-67.744,51.285,136.481,112.256,-128.715,169.443,136.614,-67.805,51.287,0.133,0.0004,-11.4563,-3.1806,-0.9557,11.4383,3.1859,0.9527,0.332593,0.527534,-0.056570,-0.260956,0.247804,-0.364326,-0.017831,-0.427486,0.091470,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000000,False,True
23,141.524,46.626,178.717,33.973,46.626,-1.283,-146.027,141.601,46.300,178.723,33.974,0.326,-0.0009,11.8667,3.9940,-0.3649,-11.7908,-3.9752,0.3530,-0.438290,0.181549,0.190679,0.247142,0.261582,0.447486,0.464337,0.424082,0.340287,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
24,100.218,48.603,-102.754,63.101,48.603,77.246,-116.899,100.242,48.586,-102.620,63.097,0.134,-0.0002,5.7908,-1.7370,1.8804,-5.8001,1.7255,-1.8810,-0.151135,0.232173,0.373239,0.237971,0.269952,0.071038,0.500995,0.195739,0.520633,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
25,-109.930,39.312,-133.485,41.512,39.312,46.515,-138.488,-109.997,39.189,-133.408,41.509,0.122,-0.0283,10.3661,1.5858,1.1560,-10.4082,-1.6031,-1.1549,-0.177720,0.783711,0.264006,0.278434,0.227989,0.299180,0.512272,0.375745,0.411903,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000001,False,True
26,-11.980,-23.442,153.249,-49.156,-23.442,-26.751,130.844,-12.003,-23.761,153.243,-49.156,0.320,0.0002,14.6673,4.2410,0.3196,-14.6928,-4.2517,-0.3093,0.445166,0.493211,-0.387763,0.330166,-0.143161,0.512649,-0.362129,0.533156,-0.237567,-180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
27,-164.231,-64.042,-121.705,-6.753,-64.042,58.295,173.247,-164.142,-64.210,-121.868,-6.748,0.169,0.1942,8.7411,4.1110,-1.7920,-9.2494,-4.2681,1.8590,-0.377488,0.538464,-0.473393,0.157519,-0.323562,0.441125,-0.352103,0.317879,-0.324782,179.999,0.001,-0.032926,-0.001,0.001,0.000002,0.000007,False,True
28,-124.456,33.121,136.541,32.141,33.121,-43.459,-147.859,-124.510,32.917,136.568,32.145,0.204,-0.2925,14.2846,4.4165,-1.8281,-13.8214,-4.2901,1.7679,-0.316167,0.821431,-0.050216,0.301395,0.196635,0.581807,0.145482,0.464599,0.098596,-179.998,-0.001,-0.032923,0.002,-0.001,0.000005,0.000014,False,True
29,65.898,-170.809,54.164,17.561,-170.809,-125.836,-162.439,65.862,-170.803,54.134,17.561,0.036,-0.0379,-8.7071,2.4493,-0.2989,8.7733,-2.4609,0.3006,-0.213206,0.630603,-0.074677,-0.355247,-0.057483,-0.227421,0.197287,-0.247351,0.072632,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
30,88.114,-177.316,27.670,77.020,-177.316,-152.330,-102.980,88.073,-177.296,27.647,77.019,0.041,0.0007,-5.4873,5.8836,0.5684,5.4855,-5.8824,-0.5686,-0.118216,0.492872,-0.140654,-0.359472,-0.016854,-0.113508,0.127190,-0.075812,0.006712,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
31,168.304,126.591,90.482,-5.231,126.591,-89.518,174.769,168.325,126.566,90.286,-5.227,0.196,0.0006,-3.4682,3.3083,-1.6221,3.4881,-3.2957,1.6176,0.002907,0.469591,0.246569,-0.214517,0.288941,0.012907,0.460772,-0.094333,0.394171,-180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
32,-62.703,-163.287,81.360,-64.403,-163.287,-98.640,115.597,-62.672,-163.093,81.271,-64.399,0.195,-0.0283,-13.4222,-2.4765,-1.5913,13.3491,2.4494,1.5847,-0.279527,-0.031563,-0.039922,-0.344666,-0.103488,-0.384692,0.178727,-0.489753,0.108740,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000001,False,True
33,-46.635,8.926,-140.211,-57.084,8.926,39.789,122.916,-46.626,8.671,-140.040,-57.079,0.256,0.0062,13.4504,2.1900,-1.8850,-13.4217,-2.1792,1.8839,0.231353,0.698205,0.139495,0.355509,0.055838,0.543576,0.270029,0.418682,0.288400,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
34,-10.960,41.396,179.808,69.211,41.396,-0.192,-110.789,-10.949,41.007,179.737,69.210,0.388,0.0000,13.9245,5.3233,0.6492,-13.8345,-5.2973,-0.6642,0.445244,0.483261,0.156308,0.269959,0.237964,0.484415,0.425728,0.528448,0.307419,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000001,False,True
35,-111.790,-108.658,159.080,-98.256,-108.658,-20.920,81.744,-111.748,-108.410,159.027,-98.259,0.249,0.0168,-6.2579,-2.6411,1.2816,6.2861,2.6452,-1.2782,0.025597,0.235456,-0.802269,-0.115130,-0.340954,-0.296737,-0.560649,-0.211995,-0.654217,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000001,False,True
36,-133.228,142.463,142.773,73.826,142.463,-37.227,-106.174,-133.279,142.596,142.522,73.822,0.252,0.0005,-8.7485,0.2964,1.9045,8.7386,-0.2856,-1.9039,0.101801,0.269895,0.344212,-0.285361,0.219257,-0.360269,0.494277,-0.234048,0.492211,-180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
37,-8.746,-111.566,44.024,-88.882,-111.566,-135.976,91.118,-8.771,-111.383,44.058,-88.879,0.183,-0.0100,-8.3413,-4.1347,-1.7565,8.2807,4.0977,1.7452,-0.430112,0.332109,-0.270243,-0.132275,-0.334676,-0.241164,-0.071255,-0.356865,-0.121747,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
38,-98.313,138.425,8.205,-21.668,138.425,-171.795,158.332,-98.285,138.503,8.119,-21.666,0.086,-0.0002,-4.4731,4.0520,-1.0912,4.4619,-4.0517,1.0911,-0.034606,0.319927,0.037862,-0.269214,0.238806,-0.031167,0.082023,-0.103505,0.185480,-180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
39,61.133,94.676,13.060,60.035,94.676,-166.940,-119.965,61.158,94.713,13.066,60.039,0.036,-0.0000,-0.9163,0.0191,-1.8613,0.9128,-0.0151,1.8609,-0.143476,0.459876,-0.033364,-0.029340,0.358669,0.057496,0.087179,-0.065878,0.113917,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
40,-22.625,-93.333,-174.623,-18.477,-93.333,5.377,161.523,-22.626,-93.374,-174.635,-18.478,0.041,-0.0001,0.0864,0.7549,0.5402,-0.0968,-0.7584,-0.5386,-0.046890,0.396278,-0.670290,-0.020919,-0.359259,-0.010749,-0.644116,0.024961,-0.523034,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
41,119.764,-125.732,-0.191,64.470,-125.732,179.809,-115.530,119.674,-125.751,-0.212,64.468,0.090,-0.0006,-2.1254,4.5259,0.9085,2.1233,-4.5228,-0.9099,-0.120230,0.419806,-0.319508,-0.210161,-0.292125,-0.042929,-0.061299,0.017397,-0.172190,-180.000,0.000,-0.032928,0.000,-0.000,-0.000000,0.000000,False,True
42,72.095,-66.156,44.557,-79.940,-66.156,-135.443,100.060,72.086,-66.059,44.570,-79.939,0.097,0.0030,-1.5279,-6.1154,-0.3844,1.5061,6.1065,0.3809,-0.158160,0.545298,-0.495451,0.145474,-0.329153,-0.119550,-0.224227,-0.144803,-0.347913,-180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
43,-67.548,-36.738,57.134,2.308,-36.738,-122.866,-177.692,-67.572,-36.774,57.338,2.305,0.204,0.0041,5.0945,-4.0132,1.7550,-5.1047,4.0154,-1.7566,0.001796,0.532098,-0.413725,0.288391,-0.215256,0.021223,-0.314596,0.137678,-0.265870,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
44,119.614,-91.518,-60.430,16.495,-91.518,119.570,-163.505,119.631,-91.572,-60.595,16.498,0.165,0.0008,3.7000,4.0776,-1.3660,-3.7761,-4.0775,1.3570,-0.187298,0.303180,-0.462086,-0.009530,-0.359741,0.242021,-0.225692,0.152055,-0.314248,180.000,-0.000,-0.032927,-0.000,-0.000,0.000000,0.000001,False,True
45,109.715,179.601,-10.338,78.174,179.601,169.662,-101.826,109.657,179.674,-10.336,78.175,0.074,0.0019,-6.0649,5.3237,-0.7300,6.0605,-5.3196,0.7306,-0.070381,0.549893,-0.314556,-0.359858,0.002506,-0.079810,-0.050599,-0.128249,-0.167174,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
46,-40.508,-97.325,49.072,-81.276,-97.325,-130.928,98.724,-40.545,-97.151,49.079,-81.273,0.174,-0.0073,-6.7497,-5.3232,-1.2091,6.7632,5.3122,1.2119,-0.301227,0.188587,-0.389848,-0.045883,-0.356930,-0.235673,-0.144264,-0.316019,-0.241631,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
47,-76.202,119.029,-25.810,-32.280,119.029,154.190,147.720,-76.188,119.045,-25.774,-32.282,0.036,-0.0000,-4.2505,1.2747,0.9235,4.2516,-1.2707,-0.9249,-0.073425,0.315568,-0.006794,-0.174624,0.314660,-0.158621,0.030071,-0.097301,0.140415,-180.000,0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
48,65.698,-122.718,166.369,31.870,-122.718,-13.631,-148.130,65.688,-122.357,166.353,31.869,0.360,0.0010,-10.0719,-3.9701,0.4667,10.1307,3.9796,-0.4761,-0.262546,0.739395,-0.526771,-0.194508,-0.302772,-0.400750,-0.499525,-0.369186,-0.377296,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000001,False,True
49,-129.689,172.888,73.959,95.986,172.888,-106.041,-84.014,-129.693,172.929,73.813,95.982,0.146,0.0001,-7.0470,4.2493,1.8186,7.0523,-4.2406,-1.8193,0.022360,0.343605,0.121465,-0.357098,0.044555,-0.245026,0.306636,-0.124412,0.269377,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
50,-108.033,-98.812,-179.541,69.655,-98.812,0.459,-110.345,-108.025,-98.632,-179.383,69.658,0.179,0.0003,-4.2546,-2.5391,-1.6756,4.3081,2.5648,1.6702,0.012104,0.233211,-0.725308,-0.055126,-0.355620,-0.096534,-0.637635,-0.207265,-0.577016,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
51,-177.350,-28.192,-171.619,69.299,-28.192,8.381,-110.701,-177.297,-28.636,-171.547,69.302,0.443,-0.0131,14.5869,4.5581,-1.2466,-14.5869,-4.5566,1.2370,-0.580700,0.477670,-0.513516,0.317176,-0.170012,0.585344,-0.266619,0.503338,-0.362593,-179.997,-0.008,-0.032907,0.003,-0.008,0.000021,0.000055,False,True
52,103.293,21.083,68.508,3.437,21.083,-111.492,-176.563,103.341,21.060,68.498,3.437,0.048,-0.0009,10.4739,-0.1469,-0.0995,-10.4741,0.1445,0.1006,-0.192093,0.108144,-0.176876,0.335778,0.129452,0.333744,-0.155580,0.327076,-0.029518,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000001,0.000001,False,True
53,59.346,-136.697,-31.448,12.860,-136.697,148.552,-167.140,59.296,-136.661,-31.639,12.864,0.191,-0.0010,-3.9672,4.2974,-1.7304,3.9850,-4.2970,1.7297,-0.160757,0.485035,-0.388879,-0.261889,-0.246817,0.017070,-0.188259,-0.097605,-0.241040,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
54,73.860,114.055,122.210,71.716,114.055,-57.790,-108.284,73.847,113.975,122.084,71.713,0.125,0.0005,-0.0082,4.6071,1.1650,0.0471,-4.5917,-1.1718,-0.090077,0.322064,0.318285,-0.146688,0.328614,0.011610,0.565656,0.089297,0.466153,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
55,101.062,-81.113,-117.714,73.925,-81.113,62.286,-106.075,101.136,-81.338,-117.784,73.928,0.225,-0.0026,6.4473,4.7257,-1.0968,-6.4971,-4.7390,1.0895,-0.164998,0.178909,-0.699515,0.055593,-0.355547,0.325381,-0.447536,0.253149,-0.551067,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000001,False,True
56,-14.790,17.737,-175.022,60.455,17.737,4.978,-119.545,-14.797,17.290,-175.018,60.456,0.448,0.0221,16.1294,5.3879,-0.2350,-16.2934,-5.4539,0.2265,0.498546,0.533767,-0.057443,0.342761,0.109634,0.605691,0.219700,0.590678,0.094358,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
57,24.747,17.868,-40.290,63.714,17.868,139.710,-116.286,24.734,17.803,-40.249,63.711,0.065,-0.0002,6.5767,-4.2600,1.4316,-6.5697,4.2618,-1.4307,0.061130,0.313970,0.154895,0.342509,0.110417,0.079020,0.219139,0.173869,0.302443,-180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
58,-129.673,36.951,84.983,75.926,36.951,-95.017,-104.074,-129.683,36.840,85.075,75.930,0.111,0.0002,10.5530,1.4427,-1.8129,-10.5395,-1.4448,1.8124,-0.258603,0.685542,-0.212088,0.287589,0.216326,0.438357,-0.025575,0.318202,-0.064291,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
59,-138.769,-160.025,169.822,-77.244,-160.025,-10.178,102.756,-138.663,-159.545,169.785,-77.245,0.480,-0.0076,-16.0027,-5.3250,0.7442,16.0337,5.3379,-0.7303,0.364894,0.065777,-0.439848,-0.338218,-0.122934,-0.619100,-0.171435,-0.570683,-0.288019,179.999,0.001,-0.032925,-0.001,0.001,0.000002,0.000009,False,True
60,60.625,-119.297,138.115,-41.472,-119.297,-41.885,138.528,60.617,-119.007,138.234,-41.476,0.290,0.0008,-9.5856,-4.0573,1.7630,9.6405,4.0716,-1.7572,-0.270782,0.687250,-0.603599,-0.176098,-0.313838,-0.445900,-0.405781,-0.329402,-0.454404,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000002,False,True
61,-10.405,-121.971,-5.733,95.223,-121.971,174.267,-84.777,-10.435,-122.056,-5.815,95.219,0.085,0.0002,-0.6555,5.3841,1.6035,0.6534,-5.3724,-1.6063,0.012393,0.400861,-0.295321,-0.190545,-0.305282,-0.016221,-0.079764,0.090270,-0.147557,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
62,23.485,-71.262,112.614,8.955,-71.262,-67.386,-171.045,23.470,-71.203,112.722,8.953,0.108,-0.0009,0.2749,-3.3968,1.2110,-0.2495,3.4065,-1.2161,-0.111620,0.394156,-0.579475,0.115607,-0.340792,-0.098360,-0.529115,-0.017736,-0.431977,-180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
63,95.400,-127.831,-154.681,-64.707,-127.831,25.319,115.293,95.245,-127.722,-154.905,-64.711,0.224,0.0060,-6.4590,0.5091,1.8583,6.4571,-0.5229,-1.8570,-0.100559,0.579883,-0.682350,-0.220718,-0.284232,-0.282470,-0.562501,-0.159360,-0.534575,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
64,48.499,151.892,26.018,0.611,151.892,-153.982,-179.389,48.486,151.948,25.803,0.615,0.215,0.0002,-5.7929,4.2507,-1.9036,5.7878,-4.2504,1.9035,-0.212485,0.515414,0.014426,-0.317424,0.169548,-0.032575,0.159151,-0.158771,0.162410,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
65,19.289,4.664,152.747,29.157,4.664,-27.253,-150.843,19.345,4.378,152.804,29.161,0.286,-0.0023,15.1425,3.7870,-1.8939,-15.1367,-3.7940,1.8916,0.373586,0.219788,-0.244227,0.358676,0.029259,0.621848,-0.080229,0.496438,-0.094668,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
66,21.315,44.487,-37.301,65.644,44.487,142.699,-114.356,21.294,44.477,-37.280,65.643,0.021,0.0001,2.5731,-5.5477,0.5619,-2.5713,5.5475,-0.5621,-0.084328,0.382642,0.189814,0.256732,0.252176,-0.026068,0.216522,0.011199,0.337134,-180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
67,-70.578,-51.304,165.636,62.435,-51.304,-14.364,-117.565,-70.642,-51.495,165.848,62.440,0.211,0.0005,7.7287,0.6395,-1.9016,-7.7510,-0.6361,1.9011,0.021730,0.609774,-0.681450,0.224983,-0.280868,0.342426,-0.540588,0.216389,-0.533469,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000001,False,True
68,-168.906,-80.551,-100.553,-90.152,-80.551,79.447,89.848,-168.870,-80.753,-100.571,-90.152,0.201,-0.0046,8.0667,6.2146,0.0462,-8.0669,-6.1986,-0.0418,-0.414957,0.519483,-0.382798,0.059077,-0.354985,0.344063,-0.360481,0.346831,-0.234273,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
69,-22.782,1.144,-141.972,-9.295,1.144,38.028,170.705,-22.791,0.924,-142.062,-9.291,0.220,0.0036,14.5298,3.1424,-1.6577,-14.5011,-3.1230,1.6511,0.366483,0.567705,-0.024860,0.359795,0.007183,0.580773,0.187228,0.471312,0.124344,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
70,-102.750,-74.044,8.914,-95.886,-74.044,-171.086,84.114,-102.735,-73.929,9.007,-95.882,0.115,-0.0004,-1.2586,-4.4090,-1.7984,1.2620,4.3905,1.8006,-0.019245,0.288219,-0.276365,0.098929,-0.346002,-0.020951,-0.087398,-0.140322,-0.128465,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
71,-32.930,-56.287,146.609,77.631,-56.287,-33.391,-102.369,-32.937,-56.338,146.879,77.635,0.270,-0.0001,4.5000,-1.8076,-1.8640,-4.4888,1.8277,1.8622,0.001935,0.432151,-0.705908,0.199736,-0.299349,0.201335,-0.584384,0.077877,-0.558035,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
72,127.225,-17.010,-67.939,-65.219,-17.010,112.061,114.781,127.253,-17.079,-67.911,-65.215,0.069,-0.0005,8.6890,-2.1904,-1.6525,-8.6886,2.1940,1.6518,-0.236736,0.272378,-0.031693,0.344125,-0.105273,0.319030,0.178659,0.209520,0.115861,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
