pose_idx,j1_deg,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,chassis_z_m,droll_deg,dpitch_deg,dz_chassis_m,max_hub_lift_m,physics_tipped,converged
0,98.624,-101.466,79.462,-30.489,-101.466,-100.538,149.511,98.531,-101.314,79.595,-30.492,0.152,-0.0222,-7.0732,-4.6124,1.1553,6.8124,4.5501,-1.1594,-0.097079,0.681140,-0.494371,-0.071539,-0.352685,-0.335814,-0.245889,-0.258953,-0.346031,180.000,-0.000,-0.032927,-0.000,-0.000,0.000000,0.000001,False,True
1,-22.004,58.654,76.046,-79.439,58.654,-103.954,100.561,-21.997,58.476,76.073,-79.441,0.178,0.0002,11.3340,5.4012,1.0859,-11.3367,-5.4165,-1.0851,0.341135,0.577037,0.059946,0.187205,0.307341,0.387698,0.104734,0.459633,0.208471,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,-0.000000,False,True
2,129.095,96.070,-107.030,-39.586,96.070,72.970,140.414,129.139,96.183,-107.017,-39.589,0.113,-0.0035,-6.0958,-4.8431,1.2181,6.0391,4.8357,-1.2100,0.023992,0.631096,0.166828,-0.038055,0.357849,-0.317895,0.412040,-0.237675,0.314568,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000000,False,True
3,71.052,-120.011,-166.804,61.341,-120.011,13.196,-118.659,71.016,-119.744,-166.744,61.344,0.267,0.0625,-8.7688,-3.1023,-1.3408,8.8088,3.1167,1.3353,-0.249177,0.734374,-0.643503,-0.179993,-0.311620,-0.262450,-0.584471,-0.350973,-0.494472,-180.000,-0.000,-0.032928,0.000,-0.000,-0.000000,0.000001,False,True
4,-146.096,-164.211,-70.632,-1.304,-164.211,109.368,178.696,-146.054,-164.185,-70.755,-1.302,0.122,-0.0200,-8.4546,2.4815,-1.0590,8.4658,-2.4852,1.0607,0.138895,0.315601,-0.373665,-0.346290,-0.097918,-0.182160,-0.330960,-0.252482,-0.226123,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
5,171.224,-21.749,-123.431,-65.685,-21.749,56.569,114.315,171.233,-22.030,-123.296,-65.682,0.282,0.0364,13.6576,3.3554,-1.5938,-13.9912,-3.4209,1.6345,-0.551263,0.368453,-0.055008,0.334251,-0.133343,0.568253,0.029416,0.459893,0.094178,-180.000,0.000,-0.032927,0.000,0.000,0.000001,0.000002,False,True
6,94.010,98.649,-37.516,-37.474,98.649,142.484,142.526,93.975,98.649,-37.443,-37.477,0.073,0.0001,-2.9344,-1.2235,1.7433,2.9402,1.2289,-1.7441,-0.124170,0.497906,0.009551,-0.054115,0.355775,-0.191728,0.106156,-0.076100,0.156814,180.000,0.000,-0.032928,-0.000,-0.000,-0.000000,-0.000000,False,True
7,102.983,54.281,172.565,90.716,54.281,-7.435,-89.284,103.055,53.945,172.365,90.713,0.336,-0.0013,12.3680,5.6563,1.3934,-12.2612,-5.6172,-1.4053,-0.222710,-0.064262,0.263785,0.210096,0.292172,0.405054,0.500110,0.498218,0.414925,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000001,False,True
8,-133.879,72.677,-114.814,-13.609,72.677,65.186,166.391,-133.866,72.767,-114.732,-13.611,0.089,-0.0002,-0.1341,-3.5034,1.0769,0.1061,3.4947,-1.0718,-0.045413,0.421388,0.282954,0.107151,0.343545,-0.104218,0.534779,-0.033162,0.430437,-180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
9,-17.861,-34.978,-65.205,-11.680,-34.978,114.795,168.320,-17.874,-35.011,-65.274,-11.679,0.069,-0.0008,9.7119,0.3876,-0.7124,-9.7044,-0.3796,0.7091,0.198928,0.490485,-0.190314,0.294866,-0.206297,0.345260,0.074251,0.298249,-0.042907,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
