pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,-0.004,-29.630,-169.815,-149.999,0.370,-0.8911,-10.6520,-4.1215,-0.4020,-9.5115,-3.6038,-0.3707,0.495104,0.096834,0.545010,0.329956,-0.190500,0.616374,-0.294748,0.691416,-0.281516,0.029,-0.108,True
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,-0.004,-29.638,-169.890,-119.999,0.362,0.9243,-9.6909,-3.6026,-0.2797,-9.4292,-3.5214,-0.2884,0.474418,0.098293,0.509982,0.329956,-0.190500,0.616374,-0.294748,0.674747,-0.245767,0.021,-0.110,True
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,-0.004,-29.643,-169.961,-90.000,0.357,-0.8768,-9.8370,-3.5092,-0.1448,-9.2696,-3.3618,-0.1288,0.438482,0.097056,0.488210,0.329956,-0.190500,0.616374,-0.294748,0.642436,-0.223143,0.014,-0.112,True
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,-0.004,-29.654,-170.003,-60.000,0.346,1.1773,-9.4307,-3.2889,0.1018,-9.0754,-3.1676,0.0654,0.395975,0.094172,0.485370,0.329956,-0.190500,0.616374,-0.294748,0.603142,-0.219705,0.021,-0.102,True
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,-0.004,-29.681,-169.997,-30.001,0.319,-0.6980,-10.7037,-3.6498,0.2892,-8.8988,-2.9910,0.2420,0.359951,0.087516,0.503100,0.329956,-0.190500,0.616374,-0.294748,0.567394,-0.236375,-0.190,-0.164,True
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,-0.005,-29.668,-169.957,-0.001,0.332,1.0974,-9.0043,-2.8965,0.3664,-8.7871,-2.8793,0.3538,0.334482,0.087569,0.534814,0.329956,-0.190500,0.616374,-0.294748,0.544769,-0.268686,0.018,-0.111,True
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,-0.005,-29.671,-169.961,29.999,0.329,-0.3834,-8.7497,-2.7723,0.4312,-8.7701,-2.8623,0.3707,0.327714,0.090125,0.574147,0.329956,-0.190500,0.616374,-0.294748,0.541332,-0.307980,0.025,-0.112,True
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,-0.005,-29.664,-169.992,59.999,0.336,-1.3720,-8.8867,-3.0656,0.2216,-8.8524,-2.9446,0.2884,0.340433,0.096537,0.609791,0.329956,-0.190500,0.616374,-0.294748,0.558001,-0.343728,0.029,-0.101,True
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,-0.005,-29.676,-170.001,90.000,0.324,0.0344,-8.9861,-3.1574,0.0771,-9.0120,-3.1043,0.1288,0.370437,0.104263,0.632842,0.329956,-0.190500,0.616374,-0.294748,0.590312,-0.366352,-0.170,-0.154,True
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,-0.005,-29.649,-169.979,120.000,0.351,1.2926,-8.3369,-2.9239,-0.0304,-9.2062,-3.2984,-0.0654,0.404121,0.120017,0.635047,0.329956,-0.190500,0.616374,-0.294748,0.629606,-0.369790,0.040,-0.096,True
