target_r,target_z,ee_pitch_deg,solution_idx,j2_deg,j3_deg,j4_deg,ee_r_m,ee_z_m,tau_j2,tau_j3,tau_j4,tau_max,tip_worst_margin,tip_worst_j1_deg,tip_stable_all,tip_n_stable,tip_n_total
0.05,-0.23194,-90.0,0,-130.785,142.056,-101.271,0.05,-0.23194,0.0825,-6.1259,-0.0,6.1259,0.08034,90,True,24,24
0.05,-0.23194,-60.0,0,-138.721,141.686,-62.965,0.05,-0.23194,0.4403,-6.7023,-0.4643,6.7023,0.07884,90,True,24,24
0.05,-0.23194,-45.0,0,-141.882,140.106,-43.224,0.05,-0.23194,0.5774,-6.9,-0.6566,6.9,0.07826,90,True,24,24
0.05,-0.23194,-30.0,0,-143.979,137.811,-23.831,0.05,-0.23194,0.6727,-7.0144,-0.8042,7.0144,0.07786,90,True,24,24
0.05,-0.23194,0.0,0,-144.659,132.008,12.652,0.05,-0.23194,0.7296,-7.0233,-0.9286,7.0233,0.07762,90,True,24,24
0.05,-0.23194,30.0,0,-141.566,126.067,45.499,0.05,-0.23194,0.6215,-6.8234,-0.8042,6.8234,0.07808,90,True,24,24
0.05,-0.23194,45.0,0,-139.14,123.505,60.635,0.05,-0.23194,0.5163,-6.6719,-0.6566,6.6719,0.07852,90,True,24,24
0.05,-0.20334,-90.0,0,-128.25,148.238,-109.988,0.05,-0.20334,0.014,-5.8701,-0.0,5.8701,0.08062,90,True,24,24
0.05,-0.20334,-60.0,0,-137.63,148.078,-70.448,0.05,-0.20334,0.4147,-6.6071,-0.4643,6.6071,0.07894,90,True,24,24
0.05,-0.20334,-45.0,0,-141.636,146.549,-49.914,0.05,-0.20334,0.5721,-6.88,-0.6566,6.88,0.07828,90,True,24,24
0.05,-0.20334,-30.0,0,-144.452,144.286,-29.834,0.05,-0.20334,0.6824,-7.0505,-0.8042,7.0505,0.07782,90,True,24,24
0.05,-0.20334,0.0,0,-145.991,138.558,7.434,0.05,-0.20334,0.7561,-7.1225,-0.9286,7.1225,0.07751,90,True,24,24
0.05,-0.20334,30.0,0,-143.125,132.728,40.397,0.05,-0.20334,0.6549,-6.948,-0.8042,6.948,0.07794,90,True,24,24
0.05,-0.20334,45.0,0,-140.655,130.216,55.44,0.05,-0.20334,0.5505,-6.7996,-0.6566,6.7996,0.07837,90,True,24,24
0.05,-0.20334,60.0,0,-137.801,128.146,69.655,0.05,-0.20334,0.4188,-6.6222,-0.4643,6.6222,0.07893,90,True,24,24
0.05,-0.20334,90.0,0,-131.664,125.689,95.975,0.05,-0.20334,0.1057,-6.2124,-0.0,6.2124,0.08024,90,True,24,24
0.05,-0.17474,-45.0,0,-139.972,152.989,-58.018,0.05,-0.17474,0.5352,-6.7425,-0.6566,6.7425,0.07844,90,True,24,24
0.05,-0.17474,-30.0,0,-143.866,150.738,-36.871,0.05,-0.17474,0.6704,-7.0057,-0.8042,7.0057,0.07787,90,True,24,24
0.05,-0.17474,0.0,0,-146.68,145.03,1.649,0.05,-0.17474,0.7695,-7.1724,-0.9286,7.1724,0.07746,90,True,24,24
0.05,-0.17474,30.0,0,-144.154,139.264,34.89,0.05,-0.17474,0.6763,-7.0278,-0.8042,7.0278,0.07785,90,True,24,24
0.05,-0.17474,45.0,0,-141.642,136.783,49.859,0.05,-0.17474,0.5722,-6.8806,-0.6566,6.8806,0.07828,90,True,24,24
0.05,-0.17474,60.0,0,-138.649,134.729,63.92,0.05,-0.17474,0.4386,-6.6961,-0.4643,6.6961,0.07884,90,True,24,24
0.05,-0.17474,90.0,0,-132.012,132.22,89.791,0.05,-0.17474,0.1148,-6.2463,-0.0,6.2463,0.0802,90,True,24,24
0.05,-0.14615,0.0,0,-146.37,151.489,-5.118,0.05,-0.14615,0.7635,-7.1501,-0.9286,7.1501,0.07748,90,True,24,24
0.05,-0.14615,30.0,0,-144.431,145.729,28.702,0.05,-0.14615,0.682,-7.049,-0.8042,7.049,0.07782,90,True,24,24
0.05,-0.14615,45.0,0,-141.898,143.255,43.643,0.05,-0.14615,0.5778,-6.9012,-0.6566,6.9012,0.07826,90,True,24,24
0.05,-0.14615,60.0,0,-138.752,141.194,57.559,0.05,-0.14615,0.441,-6.705,-0.4643,6.705,0.07883,90,True,24,24
0.05,-0.14615,90.0,0,-131.526,138.592,82.934,0.05,-0.14615,0.1021,-6.1989,-0.0,6.1989,0.08025,90,True,24,24
0.05,-0.00315,-90.0,1,81.663,-170.353,-1.31,0.05,-0.00315,-1.5208,-0.1428,-0.0,1.5208,0.0743,90,True,24,24
0.05,0.02544,-90.0,1,105.421,-164.361,-31.06,0.05,0.02544,-0.6955,-3.2227,-0.0,3.2227,0.07777,90,True,24,24
